Time,Open,High,Low,Last,Change,Volume
12/30/2013,750.57,751.67,746.08,748.49,14.09,26427
12/27/2013,736.92,736.92,731.41,734.4,-17.98,49977
12/26/2013,741.56,757.23,741.56,752.38,32.79,84711
12/25/2013,714.79,724.05,714.79,719.59,46.7,41445
12/24/2013,671.16,674.56,671.16,672.89,6.77,33221
12/23/2013,663.05,670.09,663.05,666.12,47.26,44988
12/20/2013,623.34,623.34,613.34,618.86,-81.66,112142
12/19/2013,688.8,718.24,688.8,700.52,86.76,159921
12/18/2013,604.2,622.07,604.2,613.76,103.39,301118
12/17/2013,539.33,539.33,469.48,510.37,-195.97,235284
12/16/2013,714.28,714.28,694.12,706.34,-171.49,244757
12/13/2013,892.03,892.03,867.48,877.83,-52.91,41212
12/12/2013,922.39,942.32,922.39,930.74,58.42,49791
12/11/2013,877.7,877.7,867.1,872.32,-64.94,72344
12/10/2013,921.97,957.64,887.48,937.26,15.29,78427
12/09/2013,915.64,928.08,915.64,921.97,267.23,70706
12/06/2013,654.74,654.74,654.74,654.74,-367.63,303161
12/05/2013,1016.6,1030.76,1016.6,1022.37,22.71,160182
12/04/2013,1049.22,1049.22,947.11,999.66,-99.38,101171
12/03/2013,1094.94,1104.24,1094.94,1099.04,51.08,45626
12/02/2013,1036.8,1067.27,1036.8,1047.96,-84.3,80980
11/29/2013,1129.37,1135.45,1129.37,1132.26,59.43,72868
11/28/2013,1063.37,1081.77,1063.37,1072.83,94.32,124036
11/27/2013,970.75,985.67,970.75,978.51,64.56,109644
11/26/2013,909.3,916.97,909.3,913.95,80.57,100422
11/25/2013,830.47,836.26,830.47,833.38,7.63,84249
11/22/2013,802.9,837.29,802.9,825.75,118.7,88122
11/21/2013,700.4,716.36,700.4,707.05,65.82,114469
11/20/2013,635.11,647.51,635.11,641.23,146.55,173926
11/19/2013,499.25,499.25,488.5,494.68,-191.07,247275
11/18/2013,648.82,710.2,648.82,685.75,254.06,256531
11/15/2013,430.08,433.4,430.08,431.69,10.92,93531
11/14/2013,418.78,426.01,418.78,420.77,4.09,67525
11/13/2013,412.33,418.34,412.33,416.68,45.78,127251
11/12/2013,369.35,372.21,369.35,370.9,16.24,69253
11/11/2013,352.66,357.73,352.66,354.66,8.14,65960
11/08/2013,340.16,356.04,340.16,346.52,33.78,138790
11/07/2013,309.36,316.14,309.36,312.74,25.03,155414
11/06/2013,272.09,295.43,272.09,287.71,32.27,147249
11/05/2013,252.86,256.89,252.86,255.44,24.66,147147
11/04/2013,229.86,231.73,229.86,230.78,24.06,80071
11/01/2013,206.72,206.72,206.72,206.72,2.78,15065
10/31/2013,202.73,204.76,202.73,203.94,3.15,23645
10/30/2013,201.34,201.34,198.88,200.79,-1.65,41370
10/29/2013,201.39,203.21,201.39,202.44,2.37,42502
10/28/2013,200.07,200.07,200.07,200.07,23.78,28494
10/25/2013,177.1,177.1,175.49,176.29,-4.81,57917
10/24/2013,182.73,182.73,179.72,181.1,-13.52,109427
10/23/2013,196.93,196.93,189.98,194.62,-14.83,193891
10/22/2013,208.43,210.54,208.43,209.45,18.12,84205
10/21/2013,190.47,192.07,190.47,191.33,22.47,92233
10/18/2013,167.31,170.31,167.31,168.86,13.85,114808
10/17/2013,154.56,155.37,154.56,155.01,9.1,74352
10/16/2013,145.31,146.38,145.31,145.91,2.27,62349
10/15/2013,144.43,144.43,142.52,143.64,-0.83,103193
10/14/2013,144.09,145.04,144.09,144.47,9.35,42629
10/11/2013,134.98,135.29,134.98,135.12,4.74,20944
10/10/2013,130.12,130.56,130.12,130.38,0.48,22166
10/09/2013,130.22,130.22,129.6,129.9,-1.09,34145
10/08/2013,130.52,131.43,130.52,130.99,5.08,44949
10/07/2013,126.2,126.2,125.62,125.91,-2.64,28097
10/04/2013,129.19,129.19,128.1,128.55,-0.8,10803
10/03/2013,129.35,129.35,129.35,129.35,9.29,39465
